Artist,Song
Wingtip;Sophie Strauss,Rewind (feat. Sophie Strauss)
Felix Snow;Icona Pop,Windows (feat. Icona Pop)
Whethan;Flux Pavilion;MAX,Savage (feat. Flux Pavilion & MAX)
Disturbed,The Sound Of Silence
The Chainsmokers;Coldplay,Something Just Like This
Kygo;Selena Gomez,It Ain't Me (with Selena Gomez)
Ed Sheeran,Shape of You
The Chainsmokers,Paris
Michael Bublé,Feeling Good
Ed Sheeran,Galway Girl
Clean Bandit;Sean Paul;Anne-Marie,Rockabye (feat. Sean Paul & Anne-Marie)
Julia Michaels,Issues
Starley;Ryan Riback,Call On Me - Ryan Riback Extended Remix
Bebe Rexha;Ty Dolla $ign,Bad Bitch (feat. Ty Dolla $ign)
Lauv,The Other
G-Eazy;Kehlani,Good Life (with G-Eazy & Kehlani)
Lady Gaga,Million Reasons
The Lumineers,Ophelia
Bruno Mars,That's What I Like
Kendrick Lamar,HUMBLE.
Tom Walker,Just You and I
Niall Horan,This Town
Sabrina Carpenter,Thumbs
Childish Gambino,Redbone
A R I Z O N A,Oceans Away
Gryffin;Illenium;Daya,Feel Good (feat. Daya)
Hailee Steinfeld;DNCE,Rock Bottom
Mike Posner;Lil Wayne,Bow Chicka Wow Wow ft. Lil Wayne
Martin Garrix;Bebe Rexha,In the Name of Love
Luis Fonsi;Daddy Yankee;Justin Bieber,Despacito - Remix
Miley Cyrus,Malibu
Marian Hill,Down
Post Malone;Quavo,Congratulations
Taylor Swift,Out Of The Woods
Taylor Swift,Blank Space
Train,Play That Song
Charlie Puth;Meghan Trainor,Marvin Gaye (feat. Meghan Trainor)
AJR;Rivers Cuomo,Sober Up
Julia Michaels,Uh Huh
JAY Z;Kanye West,Ni**as In Paris
AJR,Weak
AJR,Drama
Halsey,Now Or Never
The Vamps;Matoma,All Night
Olivia Holt,History
AJR,Three-Thirty
The All-American Rejects,Sweat
Charlie Puth,Attention
Selena Gomez,Kill Em With Kindness
Imagine Dragons,Thunder
Zedd;Alessia Cara,Stay (with Alessia Cara)
Hailee Steinfeld,Most Girls
DJ Khaled;Justin Bieber;Quavo;Chance The Rapper;Lil Wayne,I'm the One
Jonas Blue;William Singe,Mama
Lorde,Green Light
Bebe Rexha;Nicki Minaj,No Broken Hearts (feat. Nicki Minaj)
The Vamps;Martin Jensen,Middle Of The Night
JP Cooper,September Song
AJR,Come Hang Out
Auli'i Cravalho,How Far I'll Go
AJR,I'm Not Famous
AJR,No Grass Today
Lorde,Perfect Places
Shawn Hook;Vanessa Hudgens,Reminding Me
J Balvin;Willy William,Mi Gente
French Montana;Swae Lee,Unforgettable
Cheat Codes;Demi Lovato,No Promises (feat. Demi Lovato)
Demi Lovato,Sorry Not Sorry
Noah Cyrus;Labrinth,Make Me (Cry)
Marshmello;Khalid,Silence
Sam Smith,Too Good At Goodbyes
Hedley,Better Days
AJR,The Good Part
blackbear,do re mi
Selena Gomez,Bad Liar
Vice;Jon Bellion,Obsession (feat. Jon Bellion)
AJR,Netflix Trip
Lauv,I Like Me Better
Logic;Alessia Cara;Khalid,1-800-273-8255
Imagine Dragons,Whatever It Takes
M?,Nights With You
Rag'n'Bone Man,Human
ZAYN;Sia,Dusk Till Dawn - Radio Edit
Natasha Bedingfield;Sean Kingston,Love Like This
Quinn XCII;Chelsea Cutler,Flare Guns
Jason French,You Just Want My Money
Marc E. Bassy;Hailee Steinfeld,Plot Twist - Remix
Kesha,Praying
Portugal. The Man,Feel It Still
Post Malone;21 Savage,rockstar
Plain White T's,Rhythm Of Love
Imagine Dragons,Believer
Justin Timberlake,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")"
Alessia Cara,Scars To Your Beautiful
Khalid,Location
Camila Cabello;Young Thug,Havana
Ed Sheeran,Perfect
Macklemore;Skylar Grey,Glorious (feat. Skylar Grey)
AJR,Bud Like You
Louis Tomlinson;Bebe Rexha;Digital Farm Animals,Back to You (feat. Bebe Rexha & Digital Farm Animals)
P!nk,What About Us
Sam Smith,Too Good At Goodbyes - Edit
The Revivalists,Wish I Knew You
Cheat Codes;Fetty Wap;CVBZ,Feels Great (feat. Fetty Wap & CVBZ)
Niall Horan,Too Much To Ask
Katy Perry,This Is How We Do
Stargate;P!nk;Sia,Waterfall
Pharrell Williams,"Happy - From ""Despicable Me 2"""
Mark Ronson;Bruno Mars,Uptown Funk
Sofi Tukker;NERVO;The Knocks;Alisa Ueno,Best Friend
Pitbull;Robin Thicke;Joe Perry;Travis Barker,Bad Man
N.E.R.D;Rihanna,Lemon
Chris Brown,Questions
Pitbull;Fifth Harmony,Por Favor
Captain Cuts;Rich The Kid;Daniels,Cocaina
Portugal. The Man,Feel It Still
Calvin Harris;Pharrell Williams;Katy Perry;Big Sean,Feels
Lost Kings;Sabrina Carpenter,First Love
WALK THE MOON,One Foot
Craig David,Heartline
Beck,Dear Life
The Script;Nicky Jam,Rain (feat. Nicky Jam) - Saga WhiteBlack Remix
Avicii;Vargas & Lagola,Friend Of Mine (feat. Vargas & Lagola)
Bonzai;Mura Masa,I Feel Alright - Mura Masa Remix
Fifth Harmony;Gucci Mane,Down
Daniel Powter,Delicious
Jax Jones;Demi Lovato;Stefflon Don,Instruction (feat. Demi Lovato & Stefflon Don)
Train,Play That Song
DJ Khaled;Justin Bieber;Quavo;Chance The Rapper;Lil Wayne,I'm the One
WizKid;Chris Brown,African Bad Gyal
Pharrell Williams,Yellow Light - Despicable Me 3 Original Motion Picture Soundtrack
Charli XCX;M?,3AM (Pull Up) (feat. M?)
Clean Bandit;Zara Larsson,Symphony (feat. Zara Larsson)
G-Eazy;Kehlani,Good Life (with G-Eazy & Kehlani)
Maggie Lindemann,Pretty Girl
Tiggs Da Author;Lady Leshurr,Run
Superfruit,Bad 4 Us
Little Mix,Shout Out to My Ex
Justin Timberlake,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")"
WizKid,Daddy Yo
Kygo;Selena Gomez,It Ain't Me (with Selena Gomez)
FTampa;Anne M,Love Is All We Need
Owl City;Carly Rae Jepsen,Good Time
One Direction,What Makes You Beautiful
PRETTYMUCH,Would You Mind
Ariana Grande,Baby I
Ed Sheeran,Castle on the Hill
Olly Murs;Travie McCoy,Wrapped Up
Hot Chelle Rae,Tonight Tonight
Katy Perry,California Gurls - feat. Snoop Dogg
WALK THE MOON,Shut Up and Dance
Little Mix,Wings
Cher Lloyd,Want U Back
Maroon 5,Sunday Morning
Kesha,TiK ToK
Pentatonix,Cheerleader
Hailee Steinfeld,Love Myself
MKTO,Classic
The Jackson 5,I Want You Back
Hanson,MMMBop
Bruno Mars,The Lazy Song
Jack Johnson,Good People
Travie McCoy;Bruno Mars,Billionaire (feat. Bruno Mars)
Life of Dillon,Sex for Breakfast
Sigala;Ella Eyre,Came Here for Love
MAGIC!,#SundayFunday
OMI,Hula Hoop
Jimmy Cliff,I Can See Clearly Now
Pitbull;Flo Rida;LunchMoney Lewis,Greenlight
The Black Eyed Peas,Hey Mama
LunchMoney Lewis,Bills
Sean Paul,Get Busy
OutKast,Hey Ya!
Smash Mouth,All Star
Third Eye Blind,Semi-Charmed Life
Bowling For Soup,1985
zebrahead,Playmate of the Year
Avril Lavigne,What the Hell
The Chainsmokers;Coldplay,Something Just Like This
Stargate;P!nk;Sia,Waterfall
Quinn XCII,Make Time
Life of Dillon;L Marshall,Focus
Izzy Bizu,Sweat (A La La La La Long)
MGMT,Kids
Passion Pit,Take a Walk
Sigala;Bryn Christopher,Sweet Lovin' - Original Mix
Gryffin;Illenium;Daya,eel Good (feat. Daya)
Martin Garrix;Dua Lipa,Scared to Be Lonely
Seven Lions;Skyler Stonestreet,Freesol (feat. Skyler Stonestreet)
Martin Garrix;Troye Sivan,There for You
Cash Cash;Jacquie,Aftershock (feat. Jacquie)
Cash Cash;Christina Perri,Hero (feat. Christina Perri)
Zedd,Daisy
Seven Lions;Myon & Shane 54;Tove Lo,Strangers
Miley Cyrus;Alan Walker,Malibu - Alan Walker Remix
Porter Robinson;Madeon,Shelter
Elephante;Bishop;Virtu,Closer (feat. BISH?P) - Virtu Remix
Axwell /\ Ingrosso,More Than You Know
Zedd;Aloe Blacc,Candyman
The Chainsmokers;Phoebe Ryan,All We Know
Elephante;Deb's Daughter,Troubled (feat. Deb's Daughter)
Galantis,Gold Dust
Ed Sheeran;Throttle,Castle on the Hill - Throttle Remix
Mocki;Jai Wolf,Weekend - Jai Wolf Remix
Galantis;Hook N Sling;Madison Mars,Love On Me - Madison Mars Remix
X Ambassadors;Justin Caruso,Unsteady - Justin Caruso Remix
Scott Harris Regime;Narai,Losing Our Religion
Jarryd James,Do You Remember - Chet Porter Remix
Mako;Elephante,Smoke Filled Room - Elephante Remix
Cash Cash;ROZES,Matches
Hailee Steinfeld;Grey;Zedd,Starving
The Chainsmokers;Halsey,Closer
Skrux,You & Me
Kaskade;Mindy Gledhill,Eyes - Radio Edit
Alesso,Heroes (we could be)
Jack Ü;Skrillex;Diplo;Justin Bieber,Where Are Ü Now (with Justin Bieber)
Alan Walker;Gavin James;Lemarroy,Tired - Lemarroy Remix
Zedd;Foxes,Clarity
Illenium;King Deco,Reverie (feat. King Deco)
Zedd;Matthew Koma;Miriam Bryant,Find You
Zedd;Hayley Williams,Stay The Night - Featuring Hayley Williams Of Paramore
Cash Cash;Bebe Rexha,Take Me Home (feat. Bebe Rexha)
Zedd;Selena Gomez,I Want You To Know
Zedd;Jon Bellion,Beautiful Now
The Chainsmokers;Tritonal;Emily Warren,Until You Were Gone
Mako;Madison Beer;Lost Kings,I Won't Let You Walk Away - Lost Kings Remix
Fedde Le Grand;Denny White,Cinematic - Radio Edit
Lenno;Dragonette,The Best - Radio Edit
Galantis,No Money
Afrojack;Matthew Koma,Illuminate
DJ Snake;Bipolar Sunshine,Middle
Otto Knows;Avicii,Back Where I Belong (feat. Avicii)
Cash Cash;Digital Farm Animals;Nelly,Millionaire (feat. Nelly)
Cash Cash;Little Daylight,Turn (feat. Little Daylight)
Cash Cash;Fitz;Fitz and The Tantrums;Fitz of Fitz and The Tantrums,Broken Drum (feat. Fitz of Fitz and The Tantrums)
Seven Lions;Mike Mains,Coming Home - Seven Lions & Ricky Mears Festival Radio Mix
The Griswolds;NGHTMRE;Tyler Marenyi,Live This Nightmare (feat. NGHTMRE)
Martin Garrix;Bebe Rexha,In the Name of Love
Party Favor;Sean Kingston;Rich The Kid,Give It To Me Twice (feat. Sean Kingston & Rich The Kid)
Alan Walker;Tiësto,Faded - Tiesto's Deep House Remix
Kungs;Cookin' On 3 Burners,This Girl (Kungs Vs. Cookin' On 3 Burners)
Galantis;East & Young,Make Me Feel
Galantis,Firebird
Avicii,Broken Arrows
The Chainsmokers;ROZES,Roses - The Him Remix
Lenno;The Electric Sons,Wake Up
Snakehips;Tinashe;Chance The Rapper;Wave Racer,All My Friends - Wave Racer Remix
Big Wild;Tove Styrke,Aftergold
Kav Verhouzer;Palm Trees,In My Arms
Steve Aoki;Boehm;WALK THE MOON;FTampa,Back 2 U - FTampa Remix
Cookin' On 3 Burners;Kylie Auldist;Lenno,Mind Made Up (feat. Kylie Auldist) - Lenno vs. Cookin' On 3 Burners
OneRepublic,Feel Again
Jim Yosef,Canary
Mako,Let Go Of The Wheel
Robin Schulz;David Guetta;Cheat Codes,Shed a Light
Gryffin;Bipolar Sunshine;Young Bombs,Whole Heart - Young Bombs Remix
Martin Garrix;Matisse & Sadko,Together
Galantis,Pillow Fight
Tritonal;Ross Lynch;R5,I Feel The Love
Syn Cole,Feel Good
Alan Walker,Alone
Ookay,Thief
The Chainsmokers,Paris
Cash Cash;Sofia Reyes;Boombox Cartel,How To Love (feat. Sofia Reyes) - Boombox Cartel Remix
graves;Maazel,Lost Boys
San Holo,We Rise
San Holo,Light
Borgeous;MORTEN;RUNAGROUND,Coffee Can Money (feat. RUNAGROUND)
Thomas Gold,Better Versions Of Myself
NGHTMRE;SLANDER,GUD VIBRATIONS
Party Shirt;Trippy Trev,Lovin
SMLE,By My Side
Galantis,Rich Boy
The Chainsmokers;Coldplay,Something Just Like This
The Chainsmokers;LOUDPVCK,Paris - LOUDPVCK Remix
Boombox Cartel;QUIX;Anjulie,Supernatural (feat. Anjulie)
graves;MYRNE,Tiger Blood
Mr. Probz;Conro,Fine Ass Mess - Conro Remix
Calvin Harris;Frank Ocean;Migos,Slide
Lindsay Lowend,GT40
TastyTreat,Fallin in Love
Gaba Island,Where Are You
Gaba Island,Tidal Wave
Parson James,Temple - Lenno Remix
Captain Cuts;Nateur;Lenno,Love Like We Used To - Lenno Remix
Arty;Angel Taylor,Up All Night - Lenno Remix
Diplo;Sleepy Tom;Boombox Cartel,Be Right There - Boombox Cartel Remix
Yellow Claw;Yade Lauren,Love & War (feat. Yade Lauren)
Yellow Claw;DJ Snake;Elliphant,Good Day (feat. DJ Snake & Elliphant)
Yellow Claw;Otis Parker,Friends In The Dark (feat. Otis Parker)
Gaba Island;Antartika,Paper Islands (Antartika Remix)
CAZZETTE;JONES,Handful Of Gold
Laidback Luke;Ralvero;Ina,XOXO (feat. Ina)
Grant,Starship
JPB;MYRNE;Yung Fusion,Feels Right - Radio Edit
The Chainsmokers;Coldplay;Don Diablo,Something Just Like This - Don Diablo Remix
Jai Wolf;Mr Gabriel,Starlight
Illenium;Kerli,Sound of Walking Away
SLUMBERJACK;Vera Blue,Fracture
Evix,Drifters
metr,Stories
Zedd;Bahari,Addicted To A Memory
The Chainsmokers,The One
Sigrid;Gryffin,Don't Kill My Vibe - Gryffin Remix
The Vamps;Martin Jensen,Middle Of The Night
Joel Fletcher;Tyron Hapi;Bianca,Smooth Operator
Zedd;Alessia Cara;Petit Biscuit,Stay (with Alessia Cara) - Petit Biscuit Remix
DJ Khaled;Justin Bieber;Quavo;Chance The Rapper;Lil Wayne,I'm the One
Martin Solveig;ALMA,All Stars
Pink Guy;Getter,Fried Noodles (Getter Remix)
Duke Dumont;Gorgon City;NAATIONS,Real Life
Hardwell;Austin Mahone,Creatures Of The Night
Skip Marley;Bad Royale,Calm Down - Bad Royale Remix
David Guetta;Justin Bieber,2U (feat. Justin Bieber)
Throttle,Found You (Make Me Yours)
Louis The Child;Evalyn,Fire
Jai Wolf,Indian Summer
Birdy,Skinny Love - Fareoh Remix
Felix Jaehn;Hight;Alex Aiono,Hot2Touch
Cash Cash;Conor Maynard,All My Love (feat. Conor Maynard)
Subtact,Anomaly
Galantis,True Feeling
Jai Wolf;Lenno,Starlight (Lenno Remix)
Two Friends;Cosmos & Creature,Out of Love
POWERS;The Knocks,Sunshine - The Knocks Remix
Shawn Wasabi;Hollis,Otter Pop (feat. Hollis)
Zeus X Crona,Eyes
R3HAB,Hold Me
R3HAB;VÉRITÉ,Trouble
Alessia Cara,Scars To Your Beautiful
Bondax;Moon Boots,Gold - Moon Boots Remix
ODESZA;Monsoonsiren,Memories That You Call (feat. Monsoonsiren)
Black Coast;REMMI;Mokita,Feel Something (feat. Remmi) - Mokita Remix
Joe Ghost;Kevin Acero;Joyia,Guardian Angel
RBYN,Out of the Dark
Tinashe;Steve James,Flame - Steve James Remix
Joakim Molitor;Maia Wright,Always Gonna Say Sorry
Remady;Manu-L,L.I.F.E. - I.GOT.U Remix
Steve Aoki;Louis Tomlinson;DVBBS,Just Hold On - DVBBS Remix
Mako;WE ARE FURY,Let Go Of The Wheel - WE ARE FURY Remix
Hitimpulse,I'm in Love with the Coco
Rain Man;MAX,Do You Still Feel?
Toy Box,Sundrip
VIRTU;Virtu,Creep - VIRTU Edit
Chris Porter;Alithea,Crashing Down
MAX;Not Your Dope,Lights Down Low - Not Your Dope Remix
Martin Garrix;Dua Lipa;Conro,Scared To Be Lonely (Conro Remix)
Alle Farben;Janieck;Aligee;LOVRA,Little Hollywood - Aligee & Lovra Remix
Hot Shade;Mike Perry;Jane X?,Touching You Again
Steve Void;No Mondays;Clara Mae,Chemistry
Klingande;M-22;Naxxos,Somewhere New - Naxxos Remix
Todiefor;Helen,Beautiful
Hechmann,Inferno
DVBBS;CMC$;Gia Koka,Not Going Home
Jonas Blue;RAYE,By Your Side
Axwell /\ Ingrosso;Kid Ink,I Love You
Gavin James;Danny Avila,I Don't Know Why - Danny Avila Remix
The Vamps;Matoma,All Night
AJR,Weak
Don Diablo;Marnik,Children Of A Miracle
Wahlstedt;G Curtis,Slow Us Down
Tape Machines,Dirty Linen Sheets
Joyzu;Allyson Ezell,Humans
Conro;ROYAL,City Lights (feat. Royal)
Conro,On My Way Up
Summer Was Fun;Meron Ryan,Run to You (feat. Meron Ryan)
Subtact,Restart
Subtact;Ephixa;Stephen Walking;Aaron Richards,Matches (Subtact Remix) [feat. Aaron Richards]
Mako;Telykast,Into The Sunset - TELYKast Remix
The Chainsmokers;Savi,Honest - SAVI Remix
Teqqnix,75k
Avicii;Sandro Cavazza,Without You (feat. Sandro Cavazza)
Avicii;Vargas & Lagola,Friend Of Mine (feat. Vargas & Lagola)
Hardwell;Austin Mahone;Madison Mars,Creatures Of The Night - Madison Mars Remix
Dimitri Vegas & Like Mike;David Guetta;Kiiara,Complicated (feat. Kiiara)
Convex;Pip,Verses
Mahmut Orhan;Eneli;Mert Oksuz,Save Me (feat. Eneli) - Mert Oksuz Remix
Marshmello;Khalid,Silence
Avicii;Billy Raffoul,You Be Love (feat. Billy Raffoul)
CAZZETTE;JONES;Two Can,Handful Of Gold - Two Can Remix
OneRepublic;Seeb,Rich Love (with Seeb)
Zedd;Liam Payne,Get Low (with Liam Payne)
FTampa,Light Me Up
Galantis;ROZES,Girls On Boys
Sigala;Ella Eyre;Freedo,Came Here for Love - Freedo Remix
Jonas Blue;William Singe;Dzeko,Mama - Dzeko Remix
Hot Shade,Better
Campsite Dream,Little Do You Know
Louis The Child;Icona Pop,Weekend
ODESZA;Naomi Wild,Higher Ground (feat. Naomi Wild)
Arty,Supposed To Be
Hailee Steinfeld;Alesso;Florida Georgia Line;watt,"Let Me Go (with Alesso, Florida Georgia Line & watt)"
Martin Garrix,Pizza
Grey;Skott,Crime (with Skott)
Hippie Sabotage,Otherside
Sundial,Undertale - sundial Remix
Black Summer;Lowell,Young Like Me (feat. Lowell)
Ellusive;Telykast;Shara,You & I (feat. Shara)
Galantis,Hey Alligator
Galantis;Poo Bear,Salvage (Up All Night) [feat.Poo Bear]
Galantis;Throttle,Tell Me You Love Me
Galantis,Hello
R3HAB;Quintino,I Just Can't
Sam Berson;Shnd?,Carry Me - Shnd? Remix
Illenium,No Time Like Now
Illenium;RUNN,Free Fall
Illenium;Emilie Brandt,Lost
Illenium;MAX,Beautiful Creatures (feat. MAX)
Portugal. The Man;Gryffin,Feel It Still - Gryffin Remix
Sam Smith;Galantis,Too Good At Goodbyes - Galantis Remix
Waves;Lavin,Back in Time (feat. Lavin)
Kasbo;Keiynan Lonsdale,Lay It On Me
Tritonal;Varpu,Wild Kind
Gryffin;Illenium;Daya;Crankdat,Feel Good (feat. Daya) - Crankdat Remix
Gallant;Brasstracks,Weight in Gold - Brasstracks Remix
Lauv;DallasK,The Other - DallasK Remix
Luca Schreiner;Loé,Out of My Mind
ODESZA;Leon Bridges,Across the Room (feat. Leon Bridges)
Kygo;Jason Walker,Sunrise
Kygo;John Newman,Never Let You Go
Alan Walker;Noah Cyrus;Digital Farm Animals,All Falls Down
Cheat Codes;Fetty Wap;CVBZ,Feels Great (feat. Fetty Wap & CVBZ)
Gryffin;Katie Pearlman,Nobody Compares To You
Lost Kings;Sabrina Carpenter,First Love
Prince Fox;Bella Thorne;Yuppycult,Just Call (feat. Bella Thorne) - YUPPYCULT Remix
Marshmello;Khalid;Illenium,Silence - Illenium Remix
Don Diablo;A R I Z O N A,Take Her Place (feat. A R I Z O N A)
Tritonal;Laurell;Justin Caruso,Good Thing - Justin Caruso Remix
3LAU;Yeah Boy;Justin Caruso,Is It Love - Justin Caruso Remix
Justin Caruso;James Droll,Caving (feat. James Droll)
Gavin James;Mark McCabe,Nervous - The Ooh Song: Mark McCabe Remix
Santana;Michelle Branch,The Game of Love - Main / Radio Mix
Jason Mraz,I'm Yours
Bruno Mars,The Lazy Song
Felix Jaehn;Jasmine Thompson,Ain't Nobody (Loves Me Better)
Lost Frequencies;Janieck Devy,Reality - Radio Edit
UB40,(I Can't Help) Falling in Love With You
Snoop Dogg;Wiz Khalifa;Bruno Mars,"Young, Wild & Free (feat. Bruno Mars) - feat. Bruno Mars"
Jarabe De Palo,Déjame Vivir
Mario Bautista,Te Dedico Esta Canción
Carpenters,(They Long To Be) Close To You
Angus & Julia Stone,Paper Aeroplane
Shaggy;Ricardo Ducent,It Wasn't Me
Matt Simons;Falco Van Den Aker;Bob Van Ratingen,Catch & Release - Deepend Remix
Jonas Blue;Dakota,Fast Car
MAGIC!,Rude
Kygo;Conrad Sewell,Firestone
Kygo;Parson James,Stole the Show
Alex Adair,Casual
Becky Hill,Unpredictable
Charli XCX,Boys
Macklemore;Lil Yachty,Marmalade (feat. Lil Yachty)
Bryson Tiller,Run Me Dry
Mura Masa;Jamie Lidell,NOTHING ELSE! (feat. Jamie Lidell)
Mura Masa;Tom Tripp,helpline (feat. Tom Tripp)
French Montana;Swae Lee,Unforgettable
Macklemore;Skylar Grey,Glorious (feat. Skylar Grey)
DJ Khaled;Rihanna;Bryson Tiller,Wild Thoughts
Just Kiddin,More To Life
Major Lazer;Travis Scott;Camila Cabello;Quavo,"Know No Better (feat. Travis Scott, Camila Cabello & Quavo)"
Shallou,Doubt (Summer Edit)
Khalid,8TEEN
Khalid,Young Dumb & Broke
M?,Nights With You
Amber Mark;Couros,Lose My Cool - Couros Remix
The Black Keys,Howlin' For You
Frank Ocean,Ivy
Major Lazer;Nicki Minaj;PARTYNEXTDOOR,Run Up (feat. PARTYNEXTDOOR & Nicki Minaj)
Best Night Ever,Fire Me Up
Dillon Francis;Will Heard,Anywhere
Mura Masa;Bonzai,What If I Go? - Single Version
Cosmo's Midnight;KU?KA,Walk With Me
ODESZA;Madelyn Grant,Sun Models (feat. Madelyn Grant)
Maroon 5;SZA,What Lovers Do (feat. SZA)
Alle Farben;Sam Gray,Never Too Late
ODESZA;Leon Bridges,Across The Room (feat. Leon Bridges)
Bobby McFerrin,Don't Worry Be Happy
Jack Johnson,Banana Pancakes
Rusted Root,Send Me On My Way
Stevie Wonder,For Once In My Life
Simon & Garfunkel,The 59th Street Bridge Song (Feelin' Groovy)
The Temptations,My Girl
Matt Nathanson,Come On Get Higher
John Mayer,Your Body Is a Wonderland
Faces,Ooh La La - 2015 Remastered Version
Pharrell Williams,Happy
Toots & The Maytals,Sweet And Dandy
Roy Orbison,Pretty Woman
The Byrds,Turn! Turn! Turn! (To Everything There Is a Season)
Al Green,Sha-La-La (Make Me Happy)
Randy Newman,"You've Got A Friend In Me - From ""Toy Story""/ Soundtrack"
Jason Mraz,I'm Yours
Robbie Williams;Olly Murs,I Wan'na Be Like You
Ella Fitzgerald,Let's Do It - Let's Fall In Love
The Edwin Hawkins Singers,Oh Happy Day
R.E.M.,Shiny Happy People
Talking Heads,This Must Be The Place (Naive Melody) - 2005 Remastered Version
Sheryl Crow,If It Makes You Happy
Gary Portnoy,Where Everybody Knows Your Name (Cheers Theme)
Counting Crows,Accidentally In Love
The Kooks,Junk of the Heart (Happy)
Paul Evans,Happy-Go-Lucky-Me
Jason Mraz,The Remedy (I Won't Worry)
Paul Simon;Graham Nash;David Crosby,Here Comes The Sun (with David Crosby and Graham Nash)
Joni Mitchell,You Turn Me On I'm A Radio
Bruce Springsteen,Thunder Road
Sounds Of Blackness,I'm Going All The Way
Lighthouse Family,Lifted
Jackie Wilson,(Your Love Keeps Lifting Me) Higher & Higher
Louis Armstrong,Zip-A-Dee-Doo-Dah
Billy Ocean,"When the Going Gets Tough, the Tough Get Going"
Lou Bega,Mambo No. 5 (A Little Bit of...)
Toploader,Dancing in the Moonlight - 2001 Remix
Quincy Jones,Soul Bossa Nova
"Earth, Wind & Fire",September
C2C;Derek Martin,Happy
Dire Straits,Walk Of Life
Simon & Garfunkel,Mrs. Robinson
Yusuf / Cat Stevens,"If You Want To Sing Out, Sing Out"
Donovan,Catch the Wind
Matt and Kim,Let's Go
Cut Copy,Take Me Over
Sea Wolf,You're a Wolf
Stars,Hold On When You Get Love and Let Go When You Give It
Passion Pit,Take a Walk
Holy Ghost!,It Gets Dark
WALK THE MOON,Anna Sun
Matt and Kim,Block After Block
Tegan and Sara,Closer
The Script;will.i.am,Hall of Fame
Penguin Prison,Animal Animal
Santigold,Disparate Youth
Of Monsters and Men,Little Talks
POLIÇA;Mike Noyce,Lay Your Cards Out
Purity Ring,Fineshrine
Juveniles,We Are Young
Martin Solveig,The Night Out - Single Version
College & Electric Youth,A Real Hero
Kavinsky,Nightcall
Gypsy & The Cat,Time to Wander (Joan of Arc Remix)
The Wombats,Tokyo - Vampires & Wolves
Norah Jones,Happy Pills
Mat Kearney,Hey Mama
Holy Ghost!,Say My Name (U Tern Remix)
Gotye;Kimbra,Somebody That I Used To Know
Gotye,Eyes Wide Open
Foster The People,Helena Beat
Foster The People,Pumped Up Kicks
Foster The People,I Would Do Anything for You
The Temper Trap,Sweet Disposition
Young the Giant,My Body
The Naked And Famous,Young Blood
The Naked And Famous,Punching In A Dream
Grouplove,Tongue Tied
Grouplove,Lovely Cup
Cults,Go Outside
Atlas Genius,Back Seat
White Arrows,Get Gone
Real Estate,It's Real
Two Door Cinema Club,Something Good Can Work - The Twelves Remix
Two Door Cinema Club,What You Know - Cassian Remix
Stars,Take Me to the Riot
Phoenix,1901
Phoenix,Lisztomania
Phoenix,If I ever feel better
Phoenix,Too young
The Shins,Simple Song
The Shins,Australia
The Shins,Caring Is Creepy
The Postal Service,Sleepin In
The Postal Service,Such Great Heights
Armin van Buuren,Youtopia - feat. Adam Young [Radio Edit]
Empire of the Sun,Walking On A Dream
Empire of the Sun,Standing On The Shore
Empire of the Sun,We Are the People
MGMT,Kids
MGMT,Electric Feel
MGMT,Time to Pretend
Arcade Fire,Rebellion (Lies)
The Black Keys,Howlin' For You
The Black Keys,Tighten Up
Miike Snow,Animal
M83,Midnight City
M83,Reunion
M83,Kim & Jessie
M83,Graveyard girl
Feist,1234
Feist,I Feel It All
The Virgins,Rich Girls - Explicit Album Version
Crystal Castles;Robert Smith,Not In Love
Cut Copy,Lights & Music
The Virgins,Teen Lovers
Passion Pit,Carried Away
Passion Pit,Little Secrets
Passion Pit,The Reeling
Passion Pit,Eyes As Candles
Passion Pit,Swimming In The Flood
Passion Pit,Sleepyhead
Passion Pit,Moth's Wings
Passion Pit,Folds In Your Hands
Tegan and Sara,I Was a Fool
Tegan and Sara,"Goodbye, Goodbye"
Tegan and Sara,Drove Me Wild
Rilo Kiley,Silver Lining
Rilo Kiley,Dreamworld
Rilo Kiley,Close Call
Canyons,When I See You Again
Lemonade,Ice Water
Blood Diamonds;Grimes,Phone Sex (feat. Grimes)
The New Division,Sense
Fitz and The Tantrums,Out Of My League
Of Monsters and Men,Mountain Sound
The Lumineers,Ho Hey
Mat Kearney,Ships In The Night
Stars,The Theory of Relativity
Strange Talk,Cast Away
Strange Talk,Falling in Love
Strange Talk,Climbing Walls
fun.,Some Nights
fun.;Janelle Monáe,We Are Young (feat. Janelle Monáe) - feat. Janelle Monae
Black Kids,I'm Not Gonna Teach Your Boyfriend How to Dance with You
Black Kids,Hit The Heartbrakes
Black Kids,Hurricane Jane
Black Kids,I'm Making Eyes At You
Black Kids,Love Me Already
Fitz and The Tantrums,MoneyGrabber
Holy Ghost,Hold On
The Faint,The Geeks Were Right
Future Islands,Balance
Tennis,Marathon
Diamond Rings,You & Me
The Drums,Days
Miniature Tigers,Sex On The Regular
The Raveonettes,Love In a Trashcan
Pinback,Good To Sea
Juveniles,Hard Working Girl
Juveniles,Through the Night
