,Artist,Song,lyrics
686,Kevin Gates,2 Phones,"Hello? What the deal? Bet

I got two phones, one for the plug and one for the load
I got two phones, one for the bitches and one for the dough
Think I need two more, line bumpin' I'm ring, ring, ringin'
Countin' money while they ring, ring, ringin'
Trap jumpin' I'm ring, ring, ringin'
I got two phones, one for the plug and one for the load
I got two phones, one for the bitches and one for the dough
Think I need two more, line bumpin' I'm ring, ring, ringin'
Countin' money while they ring, ring, ringin'
Trap jumpin' I'm ring, ring, ringin'

Button start the foreign, oh my God I'm gorgeous
I just put the key inside my pocket park
It might not get to see, this a new Ferrari
Man in the mirror, how you choose to bother
Someone said they callin', I don't feel like talkin'
Everything is different, turned the way I bought it
Phone be interrupting me while I'm recordin'
Phone be making women feel they unimportant
Call my dog, he say it's all the way retarded
Keep the ore 'cause I am not using the Foreman
Kitchen, I just finished up a new performance
Hater, wish you well
I got clientele
I just got it off the scale

I got two phones, one for the plug and one for the load
I got two phones, one for the bitches and one for the dough
Think I need two more, line bumpin' I'm ring, ring, ringin'
Countin' money while they ring, ring, ringin'
Trap jumpin' I'm ring, ring, ringin'
I got two phones, one for the plug and one for the load
I got two phones, one for the bitches and one for the dough
Think I need two more, line bumpin' I'm ring, ring, ringin'
Countin' money while they ring, ring, ringin'
Trap jumpin' I'm ring, ring, ringin'

There they go again, one of my lil friends
They don't give a damn how a nigga been
All they wanna know is what I got to give
How much did I spend? What I got to lend?
What I did and what I didn't do for them
Bricks comin' in somewhere on the rim
Section doin' numbers, nowhere by a gym
Rappin' bottles spin, I'm supplin' 10
Jumpin' out a Honda, I just got it in
Askin' what I cop, none of your concern
One day you gone learn what you tryna get
Everything on sale, goin' out of biz
Partners up in jail, gotta feed the kids
Juggin' 'round the city, you know what it is
Bread winner business, put that on the wrist

I got two phones, one for the plug and one for the load
I got two phones, one for the bitches and one for the dough
Think I need two more, line bumpin' I'm ring, ring, ringin'
Countin' money while they ring, ring, ringin'
Trap jumpin' I'm ring, ring, ringin'
I got two phones, one for the plug and one for the load
I got two phones, one for the bitches and one for the dough
Think I need two more, line bumpin' I'm ring, ring, ringin'
Countin' money while they ring, ring, ringin'
Trap jumpin' I'm ring, ring, ringin'

Ring, ring, ringin' man
Find me balling hard
Come from grinding hard
Getting calling cards from your Barbie doll
When she 'round me she know I'm her bodyguard
Money callin' for me, baby girl I'm sorry
You just side yelling you not that important
Waist shaper I could pin you to the carpet
Smell like tarter, I'mma put you in the water
Conversation cost a lot of chips
She don't really get a lot of this
Engagin' where I'm gazin' at her hips
And ain't nobody makin' no attempts
Amazing clip, hanging, slanging dick
Maybe we can make it takin' trips
Maybe I was thinkin' too impatient
Phone ringing, hold up, what it is?

I got two phones, one for the plug and one for the load
I got two phones, one for the bitches and one for the dough
Think I need two more, line bumpin' I'm ring, ring, ringin'
Countin' money while they ring, ring, ringin'
Trap jumpin' I'm ring, ring, ringin'
I got two phones, one for the plug and one for the load
I got two phones, one for the bitches and one for the dough
Think I need two more, line bumpin' I'm ring, ring, ringin'
Countin' money while they ring, ring, ringin'
Trap jumpin' I'm ring, ring, ringin'"
687,Kevin Gates,I Don't Get Tired (#IDGT) [feat. August Alsina],-1
688,Mike Posner,I Took A Pill In Ibiza - Seeb Remix,"I took a pill in Ibiza
To show Avicii I was cool
And when I finally got sober, felt 10 years older
But fuck it, it was something to do
I'm living out in LA
I drive a sports car just to prove
I'm a real big baller 'cause I made a million dollars
And I spend it on girls and shoes

But you don't wanna be high like me
Never really knowing why like me
You don't ever wanna step off that roller coaster and be all alone
You don't wanna ride the bus like this
Never knowing who to trust like this
You don't wanna be stuck up on that stage singing
Stuck up on that stage singing
All I know are sad songs, sad songs
Darling, all I know are sad songs, sad songs

I'm just a singer who already blew his shot
I get along with old timers
'Cause my name's a reminder of a pop song people forgot
And I can't keep a girl, no
'Cause as soon as the sun comes up
I cut 'em all loose and work's my excuse
But the truth is I can't open up

But you don't wanna be high like me
Never really knowing why like me
You don't ever wanna step off that roller coaster and be all alone
You don't wanna ride the bus like this
Never knowing who to trust like this
You don't wanna be stuck up on that stage singing
Stuck up on that stage singing
All I know are sad songs, sad songs
Darling, all I know are sad songs, sad songs

I took a plane to my home town
I brought my pride and my guitar
All my friends are all gone but there's manicured lawns
And the people still think I'm a star
I walked around downtown
I met some fans on Lafayette
They said ""tell us how to make it 'cause we're getting real impatient""
So I looked 'em in the eye and said

You don't wanna be high like me
Never really knowing why like me
You don't ever wanna step off that roller coaster and be all alone
You don't wanna ride the bus like this
Never knowing who to trust like this
You don't wanna be stuck up on that stage singing
Stuck up on that stage singing
All that I know are sad songs, sad songs
Darling, all that I know are sad songs, sad songs"
689,Lukas Graham,Mama Said,"When Mama said that it was okay
Mama said that it was quite all right
Our kind of people had a bed for the night
And it was okay
Mama told us we are good kids
And daddy told us never listen to the ones
Pointing nasty fingers and making fun
'Cause we were good kids

Remember asking both my mom and dad
Why we never traveled to exotic lands
We only ever really visit friends
Nothing to tell when the summer ends
We never really went buying clothes
Folks were passing on this stuff plenty loads
New shoes once a year and then
Out to play ball so we could ruin them

When mama said that it was okay
Mama said that it was quite all right
Our kind of people had a bed for the night
And it was okay
Mama told us we were good kids
And daddy told us never listen to the ones
Pointing nasty fingers and making fun
'Cause we were good kids

Don't get me wrong I didn't have it bad
I got enough loving from my mom and dad
But I don't think they really understood
When I said that I wanted the deal in Hollywood
I told them I'll be singing on TV
The other kids were calling me a wannabe
The older kids they started bugging me
But now they all standing right in front of me

When mama said that it was okay
Mama said that it was quite all right
Our kind of people had a bed for the night
And it was okay
Mama told us we were good kids
And daddy told us never listen to the ones
Pointing nasty fingers and making fun
'Cause we were good kids

I know which place I'm from
I know my home
When I'm in doubt and struggling
That's where I go
An old friend can give advice
When new friends only know a half story
That's why I'm always keep them tight
And why I'm okay
I said I'm okay
You know what my mama said
You know what she told me

My mama said that it was okay
Mama said that it was quite all right
Our kind of people had a bed for the night
And it was okay
Mama said that we were good kids
And daddy told us never listen to the ones
Pointing nasty fingers and making fun
'Cause we were good kids

Mama said that it was okay
Mama said that it was okay
When mama said that it was okay"
690,Desiigner,Panda,"This what they all been waiting for
I guess so
They been waiting for this shit for a long time didn’t they
I'mma give it everything I got
Ayo Dougie park that X6 around the corner
Aye I'm just feeling my vibe right now
I'm feeling myself

Panda, panda
Panda, panda, panda, panda, panda

I got broads in Atlanta
Twisting dope, lean and the Fanta
Credit cards and the scammers
Hitting off licks in the bando

Black X6, Phantom
White X6 looks like a panda
Going out like I'm Montana
Hundred killers, hundred hammers

Black X6, Phantom
White X6, panda
Pockets swole, Danny
Selling bar, candy

Man I'm the macho like Randy
The choppa go Oscar for Grammy
Bitch nigga pull up ya panty
Hope you killas understand me

I got broads in Atlanta
Twisting dope, lean and the Fanta
Credit cards and the scammers
Hitting off licks in the bando

Black X6, Phantom
White X6 looks like a panda
Going out like I’m Montana
Hundred killers, hundred hammers

Black X6, Phantom
White X6, panda
Pockets swole, Danny
Selling bar, candy

Man I'm the macho like Randy
The choppa go Oscar for Grammy
Bitch nigga pull up ya panty
Hope you killas understand me

Hey
Panda, panda
Panda, panda, panda, panda, panda, panda, panda, panda

I got broads in Atlanta
Twisting dope, lean and shit sipping Fanta
Credit cards and the scammers
Wake up Versace shit, life Desiigner

Whole buncha lavish shit
They be asking round town who be clappin' shit
I pullin' up stuff in the Phantom ship
I got plenty of stuff of Bugatti whip look how I drive this shit

Black X6, Phantom
White X6, killing on camera
Pop a Perc, I can't stand up
Gorilla, they come and kill you with bananas

Four fillas, they finna pull up in the Phantom
Know niggas, they come and kill you on the camera
Big Rollie, it dancing bigger than a Pandie
Go Oscar for Grammy, bitch pull up your panty

Fill up I'mma flip it
I got bitches pull up and they get it
I got niggas that's counting for digits
Say you make you a lot of new money

Know some killers pull off and they in the Wraith
CTD,pull up in the killer Bape
Call up Phillip-Phillip, gon' fill the bank, niggas up in the bank
We gon' drill the bank, fuck we gon' kill the bank, get it

I got broads, yeah I get it
I get cards yea I shitted, this how I live it
Did it all for a ticket
Now Flex drop bombs when he spin it
And Bobby gon' trend it

Jeff The Don doing business
Zana Ray fucking up shit and she doin' her business
I be getting to the chicken
Counting to the chicken
And all of my niggas gon' split it

Panda, panda
Panda, panda, panda, panda, panda

I got broads in Atlanta
Twisting dope, lean and the Fanta
Credit cards and the scammers
Hitting off licks in the bando

Black X6, Phantom
White X6 looks like a panda
Going out like I'm Montana
Hundred killers, hundred hammers

Black X6, Phantom
White X6, panda
Pockets swole, Danny
Selling bar, candy

Man I'm the macho like Randy
The choppa go Oscar for Grammy
Bitch nigga pull up ya panty
Hope you killas understand me

I got broads in Atlanta
Twisting dope, lean and the Fanta
Credit cards and the scammers
Hitting off licks in the bando

Black X6, Phantom
White X6 looks like a panda
Going out like I’m Montana
Hundred killers, hundred hammers

Black X6, Phantom
White X6, panda
Pockets swole, Danny
Selling bar, candy

Man I'm the macho like Randy
The choppa go Oscar for Grammy
Bitch nigga pull up ya panty
Hope you killas understand me

Panda, panda
Panda, panda, panda, panda, panda, panda, panda, panda"
691,Fifth Harmony;Ty Dolla $ign,Work from Home,"I ain't worried 'bout nothin'
I ain't wearin' na-nada
I'm sitting pretty, impatient
But I know you gotta
Put in them hours
I'mma make it harder
I'm sendin' pic after picture
I'mma get you fired

I know you're always on that night shift
But I can't stand these nights alone
And I don't need no explanation
'Cause baby you're the boss at home

You don't gotta go to work, work, work, work, work, work, work
But you gotta put in work, work, work, work, work, work, work
You don't gotta go to work, work, work, work, work, work, work
Let my body do the work, work, work, work, work, work, work
We can work from home, oh oh oh oh oh
We can work from home, oh oh oh oh oh

Let's put it into motion
I'mma give you a promotion
I'll make it feel like a vacay
Turn the bed into an ocean
We don't need nobody
I just need your body
Nothin' but sheets in between us
Ain't no gettin' off early

I know you're always on that night shift
But I can't stand these nights alone
And I don't need no explanation
'Cause baby you're the boss at home

You don't gotta go to work, work, work, work, work, work, work
But you gotta put in work, work, work, work, work, work, work
You don't gotta go to work, work, work, work, work, work, work
Let my body do the work, work, work, work, work, work, work
We can work from home, oh oh oh oh oh
We can work from home, oh oh oh oh oh

Oh, yeah
Girl gotta work for me
Can you make it clap?
No hands for me
Take it to the ground
Pick it up for me
Look back at it
All on for me
Put in work like my timesheet
She ride it like a '63
I'mma buy her no Celine
Let her ride in a foreign with me
Oh, she the bae, I'm her boo
And she down to break the rules
Ride or die, she gon' go
I won't judge, she finesse
I pipe her, she take that
Puttin' overtime on your body

You ain't gotta go to work, no

You don't gotta go to work, work, work, work, work, work, work
But you gotta put in work, work, work, work, work, work, work
You don't gotta go to work, work, work, work, work, work, work
Let my body do the work, work, work, work, work, work, work

Do the work, do the work, yeah yeah
We can work from home, oh oh oh oh oh
We can work from home, oh oh oh oh oh
Yeah, we can work from home, oh oh yeah
We can work from home, oh oh yeah"
692,Timeflies;Katie Sky,Monsters,"I see your monsters
I see your pain
Tell me your problems
I'll chase them away
I'll be your lighthouse
I'll make it okay
When I see your monsters
I'll stand there so brave
And chase them all away

A cup of coffee still steaming
Staring back at me, it's blacker than the night
I'm awake but still sleeping
I keep telling myself I'll be all right (I won't)
And I know it can't get worse than today
Sitting here and she's trying to rehearse what to say
See, she's in the bathroom hoping I'm not in earshot
While she's getting used to the sound of a teardrop (Splash)
It hits the tile
And I know it's been a while since you seen me
Smile and laugh like I used to
I've been in denial since it happened
Just take me to the past
'Cause I just can't imagine losing you (too)
I can't explain this so I'll keep it all inside
Wear my pain, but it's masked by my pride
She came to hold me and she cried
Told me this as she stared into my eyes, said

I see your monsters
I see your pain
Tell me your problems
I'll chase them away
I'll be your lighthouse
I'll make it okay
When I see your monsters
I'll stand there so brave
And chase them all away

I can't
You won't like what you see
If you were in my head and had to hear my pleas
It's like
I can't believe this is happening to me
And could someone please shut this fucking answering machine
So I can start leaving these messages
That you will never get
And all these cries for help
You'll never see and never check
But I guess it's easy for you to leave me
But believe me
See this isn't something that I'mma just forget
I would trade it all for one more minute
Don't you see I really need you to talk to
I'm still sitting here wondering who did it
While I'm staring out our front door
Knowing you'll never walk through
Said you'd come right back
And now you're gone like that
A blank stare as I stand so alone
And know you're never coming home (damn)

I see your monsters
I see your pain
Tell me your problems
I'll chase them away
I'll be your lighthouse
I'll make it okay
When I see your monsters
I'll stand there so brave
And chase them all away

I got a heart made of fool's gold
Got me feeling so cold
But you chipping away
All the promises that I told
Felt like I was on those
But keep slipping away
I want nobody else
But it's hard to get to know me
When I don't know myself
And it helps
'Cause I felt
I was down, I was out
Then you looked at me now
And said

I see your monsters
I see your pain
Tell me your problems
I'll chase them away
I'll be your lighthouse
I'll make it okay
When I see your monsters
I'll stand there so brave
I see your monsters
I see your pain
Tell me your problems
I'll chase them away
I'll be your lighthouse
I'll make it okay
When I see your monsters
I'll stand there so brave
And chase them all away"
693,Zara Larsson,Lush Life,"I live my day as if it was the last
Live my day as if there was no past
Doin' it all night, all summer
Doin' it the way I wanna
Yeah I'mma dance my heart out 'til the dawn
But I won't be done when morning comes
Doin' it all night, all summer
Gonna spend it like no other

It was a crush
But I couldn't, couldn't get enough
It was a rush
But I gave it up
It was a crush
Now I might have went and said too much
But that's all it was
So I gave it up

I live my day as if it was the last
Live my day as if there was no past
Doin' it all night, all summer
Doin' it the way I wanna
Yeah I'mma dance my heart out 'til the dawn
But I won't be done when morning comes
Doin' it all night, all summer
Gonna spend it like no other

It was a crush
I kept saying I'mma stay in touch
But that thing went bust
So I gave it up
No tricks, no bluff
I'm just better off without them cuffs
Yeah the sun won't set on us

Went low, went high
Still waters run dry
Gotta get back in the groove
I ain't ever worry
Went low, went high
What matters is now
Getting right back in the mood

I live my day as if it was the last
Live my day as if there was no past
Doin' it all night, all summer
Doin' it the way I wanna
Yeah I'mma dance my heart out 'til the dawn
But I won't be done when morning comes
Doin' it all night, all summer
Gonna spend it like no other

Now I've found another crush
The lush life's given me a rush
Had one chance to make me blush
Second time is one too late
Now I've found another crush
The lush life's given me a rush
Had one chance to make me blush
Second time is one too late

I live my day as if it was the last
Live my day as if there was no past
Doin' it all night, all summer
Doin' it the way I wanna
Yeah I'mma dance my heart out 'til the dawn
But I won't be done when morning comes
Doin' it all night, all summer
Gonna spend it like no other

Now I've found another crush
The lush life's given me a rush
Had one chance to make me blush
Second time is one too late
Now I've found another crush
The lush life's given me a rush
Had one chance to make me blush
Second time is one too late"
694,Jason Derulo,If It Ain't Love,"Short days, long nights tangled up with you
I don't wanna move
Your eyes don't lie
And if I needed proof, that body tell the truth

Your body is a blessing
Don't know if I deserve it
Before round two, I've got a question for you babe

If it ain't love
Why does it feel so good?
Why does it feel so good?
If it ain't love
Why does it feel so good?
Why does it feel so good?

If it ain't love
Why does it feel so good?
If it ain't love
Why does it feel so good?

On the tip of my tongue
The flavor of your skin lingers on my lips
Each time we dine
We do it again, again and again, ooh

Your body is a blessing, oh
What'd I do to deserve it?
Before round three, I've got a question for you baby

If it ain't love
Why does it feel so good? (So good)
Why does it feel so good?
If it ain't love
Why does it feel so good?
Why does it feel so good?
Tell me what it is

If it ain't love
Oh, babe
Why does it feel so good?
If it ain't love
Then what is it?
Why does it feel so good?

Aw, yeah
(Why can't you get enough?)
(Could use, could use)

You know soon that you walk in, it goin' up, goin' up
Slow it down for me, girl, we ain't gotta rush it, we ain't gotta rush it
Always a movie, we ain't sayin' much
Baby, I'm just your type, I know what bad girls like
But I'll confess tonight
Your body is a blessing, oh yeah
What'd I do to deserve it?
(Short days, long nights)
Short days and long nights, yeah

If it ain't love
(Why) Why does it feel so good?
(Does it feel) Why does it feel so good?
(So good?) Tell me what it is
If it ain't love
(Why) Why does it feel so good?
(Does it feel) Why does it feel so good?
So good? Yeah, yeah

If it ain't love
(Why) What is it?
(Does it feel) What is it?
(So good?)
Why does it feel so good?
If it ain't love
(Why) Then what is it?
(Does it feel) What is it?
(So good?)
Why does it feel so good?"
695,The Chainsmokers;Daya,Don't Let Me Down,"Crashing, hit a wall
Right now I need a miracle
Hurry up now, I need a miracle
Stranded, reaching out
I call your name but you're not around
I say your name but you're not around

I need you, I need you, I need you right now
Yeah, I need you right now
So don't let me, don't let me, don't let me down
I think I'm losing my mind now
It's in my head, darling I hope
That you'll be here, when I need you the most
So don't let me, don't let me, don't let me down
D-Don't let me down

Don't let me down
Don't let me down, down, down
Don't let me down, don't let me down, down, down

R-r-running out of time
I really thought you were on my side
But now there's nobody by my side

I need you, I need you, I need you right now
Yeah, I need you right now
So don't let me, don't let me, don't let me down
I think I'm losing my mind now
It's in my head, darling I hope
That you'll be here, when I need you the most
So don't let me, don't let me, don't let me down
D-Don't let me down

Don't let me down
Don't let me down, down, down
Don't let me down, down, down
Don't let me down, down, down
Don't let me down, don't let me down, down, down

Oh, I think I'm losing my mind now, yeah, yeah, yeah
Oh, I think I'm losing my mind now, yeah, yeah

I need you, I need you, I need you right now
Yeah, I need you right now
So don't let me, don't let me, don't let me down
I think I'm losing my mind now
It's in my head, darling I hope
That you'll be here, when I need you the most
So don't let me, don't let me, don't let me down
Don't let me down

Yeah, don't let me down
Yeah, don't let me down
Don't let me down, oh no
Said don't let me down
Don't let me down
Don't let me down
Don't let me down, down, down"
696,Troye Sivan,YOUTH,"What if
What if we run away
What if
What if we left today
What if
We said goodbye to safe and sound
And what if
What if we're hard to find
What if
What if we lost our minds
What if
We left them fall behind, and they're never found

And when the lights start flashing like a photobooth
And the stars exploding
We'll be fireproof

My youth
My youth is yours
Trippin' on skies, sippin' waterfalls
My youth
My youth is yours
Runaway now and forevermore
My youth
My youth is yours
A truth so loud you can't ignore
My youth, my youth, my youth
My youth is yours

What if
What if we start to drive
What if
What if we close our eyes
What if
Speeding through red lights into paradise
'Cause we've no time for getting old
Mortal body; timeless souls
Cross your fingers, here we go
Oh, oh, oh

And when the lights start flashing like a photobooth
And the stars exploding
We'll be fireproof

My youth
My youth is yours
Trippin' on skies, sippin' waterfalls
My youth
My youth is yours
Runaway now and forevermore
My youth
My youth is yours
A truth so loud you can't ignore
My youth, my youth, my youth
My youth is yours
My youth is yours

My youth
My youth is yours
Trippin' on skies, sippin' waterfalls
My youth
My youth is yours
Runaway now and forevermore
My youth
My youth is yours
A truth so loud you can't ignore
My youth, my youth, my youth
My youth is yours
Oh, oh, oh
My youth is yours
Oh, oh, oh
My youth is yours"
697,X Ambassadors,Unsteady,"Hold, hold on, hold onto me
'Cause I'm a little unsteady
A little unsteady
Hold, hold on, hold onto me
'Cause I'm a little unsteady
A little unsteady

Mama, come here
Approach, appear
Daddy, I'm alone
'Cause this house don't feel like home

If you love me, don't let go
If you love me, don't let go

Hold, hold on, hold onto me
'Cause I'm a little unsteady
A little unsteady
Hold, hold on, hold onto me
'Cause I'm a little unsteady
A little unsteady

Mother, I know
That you're tired of being alone
Dad, I know you're trying
To fight when you feel like flying

But if you love me, don't let go
If you love me, don't let go

Hold, hold on, hold onto me
'Cause I'm a little unsteady
A little unsteady
Hold, hold on, hold onto me
'Cause I'm a little unsteady
A little unsteady

Hold, hold on, hold onto me
'Cause I'm a little unsteady
A little unsteady"
698,Twenty One Pilots,Fall Away,"I don't wanna fall, fall away 
I don't wanna fall, fall away 
I'll keep the lights on in this place 
'Cause I don't wanna fall, fall away 

I disguise 
And I will lie 
And I will take my precious time 
As the days spent away 
As I stand in line 
And I die as I wait as I wait on my crime 
And I'll try to delay what you make of my life 
But I don't want your way, 
I want mine 
I'm dying and trying 
But believe me I'm fine 
But I'm lying, 
I'm so very far from fine 

And I can feel the pull begin 
I feel my conscience wearing thin 
And my skin 
It will start to break up and fall apart 

I don't wanna fall, fall away 
I don't wanna fall, fall away 
I'll keep the lights on in this place 
'Cause I don't wanna fall, fall away 

Every time I feel selfish ambition 
Is taking my vision 
And my crime is my sentence 
Repentance is taking commission 
It's taking a toll 
On my soul 
I'm screaming submission and, 
I don't know if I am dying or living 
'Cause I will save face 
For name's sake 
Abuse grace 
Take aim to obtain a new name 
And a newer place 
But my name is lame 
I can't walk and I ain't the same 
And my name became 
A new destiny to the grave 

And I, I can feel the pull begin 
Feel my conscience wearing thin 
And my skin, 
It will start to break up and fall apart 

I don't wanna fall, fall away 
I don't wanna fall, fall away 
I'll keep the lights on in this place 
'Cause I don't wanna fall, fall away"
699,Fall Out Boy,Uma Thurman,"I can move mountains
I can work a miracle, work a miracle
Oh, oh, I'll keep you like an oath
May nothing but death do us part

She wants to dance like Uma Thurman
Bury me till I confess
She wants to dance like Uma Thurman
And I can’t get you out of my head

The stench, the stench, of summer sex
And CK eternity, oh hell yes
Divide me down to the smallest I can be
Put your, put your v-v-venom in me

I can move mountains
I can work a miracle, work a miracle
Oh, oh, I'll keep you like an oath
May nothing but death do us part

She wants to dance like Uma Thurman
Bury me till I confess
She wants to dance like Uma Thurman
And I can’t get you out of my head

The blood, the blood, the blood of the lamb
Is worth two lions, but here I am
And I slept in last night’s clothes and tomorrow’s dreams
But they’re not quite what they seem

I can move mountains
I can work a miracle, work a miracle
Oh, oh, I'll keep you like an oath
May nothing but death do us part

You’ll find your way
And may death find you alive
Take me down the line
In Gem City we turn the tide
You’ll find your way
And may death find you alive
Take me down the line
In Gem City we turn the tide

She wants to dance like Uma Thurman
Bury me till I confess
She wants to dance like Uma Thurman
And I can’t get you out of my head

I can move mountains
I can work a miracle, work a miracle
Oh, oh, I'll keep you like an oath
May nothing but death do us part

I can move mountains
I can work a miracle, work a miracle
Oh, oh, I'll keep you like an oath
May nothing but death do us part"
700,Alessia Cara,Wild Things,"To me, 'where the wild things are' is a place that exists in our minds. It's a place of liberty and shamelessness. It can take a split second of our lifetime to find it, but once you do you'll be free.

Find table spaces
Say your social graces
Bow your head, they're pious here
But you and I, we're pioneers
We make our own rules
Our own room, no bias here
Let 'em sell what they are sellin'
There are no buyers here
So gather all the rebels now
We'll rebel rouse and sing aloud
We don't care what they say no way, no way
And we will leave the empty chairs
To those who say we can't sit there
We're fine all by ourselves

So aye, we brought our drum and this is how we dance
No mistakin', we make our breaks, if you don't like our 808s
Then leave us alone, 'cause we don't need your policies
We have no apologies for being...

Find me where the wild things are
Oh my, we'll be all right
Don't mind us
Find me where the wild things are
Oh my, we'll be just fine
Don't mind us, yeah
Find me where the wild things are

I lose my balance on these eggshells
You tell me to tread, I'd rather be a wild one instead
Don't wanna hang around the in crowd
The cool kids aren't cool to me
They're not cooler than we are

So aye, we brought our drum and this is how we dance
No mistakin', we make our breaks, if you don't like our 808s
Then leave us alone, 'cause we don't need your policies
We have no apologies for being...

Find me where the wild things are
Oh my, we'll be all right
Don't mind us, yeah
Find me where the wild things are
Oh my, we'll be just fine
Aye-aye-aye don't mind us

We will carve our place into time and space
We will find our way, or we'll make a way, say hey, hey, hey
Find you're great, don't you hide your face
And let it shine, shine, shine, shine

So aye, we brought our drum and this is how we dance
No mistakin', we make our breaks, if you don't like our 808s
Then leave us alone, 'cause we don't need your policies
We have no apologies for being...

Find me where the wild things are
Oh my, we'll be all right
Don't mind us, yeah
Find me where the wild things are
Oh my, we'll be just fine
Don't mind us, yeah
Find me where the wild things are

There's a wild thing that exists in all of us, it lives in our passions and the people we love, in our subconscious thoughts, our beliefs... It's even made a home in the darkest parts of us but we can't be scared of it... We have to become it."
701,Ruth B.,Lost Boy,"There was a time when I was alone
Nowhere to go and no place to call home
My only friend was the man in the moon
And even sometimes he would go away, too

Then one night, as I closed my eyes
I saw a shadow flying high
He came to me with the sweetest smile
Told me he wanted to talk for awhile

He said, ""Peter Pan, that's what they call me
I promise that you'll never be lonely.""
And ever since that day

I am a lost boy from Neverland
Usually hanging out with Peter Pan
And when we're bored we play in the woods
Always on the run from Captain Hook

""Run, run, lost boy."" they say to me
""Away from all of reality.""

Neverland is home to lost boys like me
And lost boys like me are free

He sprinkled me in pixie dust and told me to believe
Believe in him and believe in me
Together we will fly away in a cloud of green
To your beautiful destiny

As we soared above the town that never loved me
I realized I finally had a family
Soon enough we reached Neverland
Peacefully my feet hit the sand
And ever since that day

I am a lost boy from Neverland
Usually hanging out with Peter Pan
And when we're bored we play in the woods
Always on the run from Captain Hook

""Run, run, lost boy."" they say to me
""Away from all of reality.""

Neverland is home to lost boys like me
And lost boys like me are free

Peter Pan, Tinker Bell, Wendy Darling
Even Captain Hook
You are my perfect story book
Neverland, I love you so
You are now my home sweet home
Forever a lost boy at last

Peter Pan, Tinker Bell, Wendy Darling
Even Captain Hook
You are my perfect story book
Neverland, I love you so
You are now my home sweet home
Forever a lost boy at last
And for always I will say

I am a lost boy from Neverland
Usually hanging out with Peter Pan
And when we're bored we play in the woods
Always on the run from Captain Hook

""Run, run, lost boy."" they say to me
""Away from all of reality.""

Neverland is home to lost boys like me
And lost boys like me are free
Neverland is home to lost boys like me
And lost boys like me are free"
702,X Ambassadors,Renegades,"Run away-ay with me
Lost souls in revelry (hey)
Running wild and running free
Two kids, you and me (hey)

And I say hey, hey hey hey
Living like we're renegades
Hey hey hey, hey hey hey
Living like we're renegades
Renegades, renegades

Long live the pioneers
Rebels and mutineers (hey)
Go forth and have no fear
Come close and lend an ear (hey)

And I say hey, hey hey hey
Living like we're renegades
Hey hey hey, hey hey hey
Living like we're renegades
Renegades, renegades

All hail the underdogs
All hail the new kids
All hail the outlaws
Spielbergs and Kubricks

It's our time to make a move
It's our time to make amends
It's our time to break the rules
Let's begin

And I say, hey, hey hey hey
Living like we're renegades
Hey hey hey, hey hey hey
Leaving like we're renegades
Renegades, renegades"
703,Twenty One Pilots,Tear In My Heart,"Sometimes you gotta bleed to know
That you're alive and have a soul
But it takes someone to come around
To show you how

She's the tear in my heart
I'm alive
She's the tear in my heart
I'm on fire
She's the tear in my heart
Take me higher
Than I've ever been

The songs on the radio are okay
But my taste in music is your face
And it takes a song to come around
To show you how

She's the tear in my heart
I'm alive
She's the tear in my heart
I'm on fire
She's the tear in my heart
Take me higher
Than I've ever been

Than I've ever been
Than I've ever been
Than I've ever been

You fell asleep in my car I drove the whole time
But that's okay I'll just avoid the holes so you sleep fine
I'm driving here I sit
Cursing my government
For not using my taxes to fill holes with more cement

You fell asleep in my car I drove the whole time
But that's okay I'll just avoid the holes so you sleep fine
I'm driving here I sit
Cursing my government
For not using my taxes to fill holes with more cement

Sometimes you gotta bleed to know, oh, oh
That you're alive and have a soul, oh, oh
But it takes someone to come around
To show you how

She's the tear in my heart
I'm alive
She's the tear in my heart
I'm on fire
She's the tear in my heart
Take me higher
Than I've ever been

My heart is my armor
She's the tear in my heart
She's a carver
She's a butcher with a smile
Cut me farther
Than I've ever been

Than I've ever been
Than I've ever been
Than I've ever been

My heart is my armor
She's the tear in my heart
She's a carver
She's a butcher with a smile
Cut me farther
Than I've ever been"
