,Unnamed: 0,Artist,Song,lyrics
38,38,Kina Grannis,The Fire,"You let the fire out, and it's right in front of me
You let the fire out, and it's right in front of me

You stood tall the fire began to let out,
I trusted you'd refrain and keep closed your mouth

You let the fire out, and it's right in front of me
You let the fire out, and it's right in front of me

Words crashing through the flames smoke spreading far
And I thought we'd remain free from it's harm

You let the fire out, and it's right in front of me
You let the fire out, and it's right in front of me

Will we burn
Will we burn
From the fire will we learn,
To be mindful and keep away from the words that ignite the flame
Our words will ignite the flame

You let the fire out, and it's right in front of me
You let the fire out, and it's right in front of me
You let the fire out, and it's right in front of me
You let the fire out, and it's right in front of me
Right in front of me
Face it don't turn around, there's no running from the heat"
40,40,James Bay,Need The Sun To Break,"I'm halfway gone, sleepless I'm battle-worn
You're all I want, bring me the dawn

I need the sun to break, you've woken up my heart
I'm sinking, all my love could change
Been in the dark for weeks and I've realized you're all I needed
I hope that I'm not too late, I hope I'm not too late

Back of the room, how come my friends already know you?
Feel like a kid, too shy to speak up so I keep it hid
Oh butterflies, you steal my sleep each night

I need the sun to break, you've woken up my heart
I'm sinking, all my love could change
Been in the dark for weeks and I've realized you're all I needed
I hope I'm not too late, and I hope I'm not too late
Ooh-ooh-ooh, oh, oh
Ooh-ooh-ooh, oh, oh

I need the sun to break, you've woken up my heart
I'm sinking, all my love could change
Been in the dark for weeks and I've realized you're all I needed
I hope that I'm not too late, and I hope I'm not too late

Ooh-ooh-ooh, oh, oh
Ooh-ooh-ooh, oh, oh."
41,41,Ben Howard,Only Love,"Darling you're with me, always around me
Only love, only love
Darling I feel you, under my body
Only love, only love
Give me shelter, or show me heart
Come on love, come on love
Watch me fall apart, watch me fall apart

And I'll be yours to keep
A wind in the shadow, a whale song in the deep
A wind in the shadow, a whale song in the deep

Darling you're with me, always around me
Only love, only love
Darling I feel you, under my body
Only love, only love
Give me shelter, or show me heart
Come on love, come on love
Watch me fall apart, watch me fall apart

And I'll be yours to keep
A wind in the shadow, a whale song in the deep
A wind in the shadow, a whale song...

Darling you're with me, always around me
Only love, only love
Darling I feel you, under my body
Only love, only love
Give me shelter, or show me heart
Come on love, come on love
Watch me fall apart, watch me fall apart

Watch me fall apart, watch me fall apart, watch me fall apart
(Only love)

Only love, love, love
Only love, love, love
Only love, love, love
Girl show me heart
Come on love, love, love
Come on love, love, love
Come on love, love, love
Watch me fall apart
Come on love love love
Come on love love love
Come on love love love
Girl show me heart
Show me love, love, love
Show me love, love, love
Show me love, love, love
Watch me fall apart
(Watch me fall apart)

Darling I feel you under my body
Darling you're with me forever and always
Give me shelter or show me heart
And watch me fall apart, watch me fall apart"
43,43,Family of the Year,Hero,"Let me go
I don't wanna be your hero
I don't wanna be a big man
Just wanna fight with everyone else

Your masquerade
I don't wanna be a part of your parade
Everyone deserves a chance to
Walk with everyone else

While holding down
A job to keep my girl around
And maybe buy me some new strings
And her a night out on the weekends

And we can whisper things
Secrets from our American dreams
Baby needs some protection
But I'm a kid like everyone else

So let me go
I don't wanna be your hero
I don't wanna be a big man
I just wanna fight like everyone else

Ooh...

So let me go
I don't wanna be your hero
I don't wanna be a big man
I just wanna fight with everyone else

Your masquerade
I don't wanna be a part of your parade
Everyone deserves a chance to
Walk with everyone else"
44,44,Iron & Wine,Call It Dreaming,"Say it's here where our pieces fall in place
Any rain softly kisses us on the face
Anywhere means we're running
We can sleep and see 'em coming
Where we drift and call it dreaming
We can weep and call it singing

Where we pray when our hearts are strong enough
We can bow 'cause our music's warmer than blood
Where we see enough to follow
We can hear when we are hollow
Where we keep the light we're given
We can lose and call it living

Where the sun isn't only sinking fast
Every night knows how long it's supposed to last
Where the time of our lives is all we have
And we get a chance to say
Before we ease away
For all the love you've left behind
You can have mine

Say it's here where our pieces fall in place
We can fear 'cause the feeling's fine to betray
Where our water isn't hidden
We can burn and be forgiven
Where our hands hurt from healing
We can laugh without a reason

'Cause the sun isn't only sinking fast
Every moon in our bodies make shining glass
Where the time of our lives is all we have
And we get a chance to say
Before we ease away
For all the love you've left behind
You can have mine"
46,46,Gavin James,Nervous,"I promise that I'll hold you when it's cold out
And we'll lose our winter coats in the spring
'Cause lately I was thinking I never told you
That every time I see you my heart sings
'Cause we lived at the carnival in summer
Scared ourselves to death on a ghost train
And just like every ferris wheel stops turning
Oh, I guess we had an expiration date
So I won't say I love you, it's too late

Oh

'Cause every time I saw you I got nervous
Shivering and shaking at the knees
And just like every song I haven't heard yet, no
I didn't know the words in front of me
In front of me

Oh, but I don't wanna know
But who will take you home
Who will take you home
Who will take you home
If I let you go

Oh

And now that you're on someone else's shoulders
The winter winds are colder on my own
Maybe we will meet when we get older
Maybe we won't
So I won't say I love if you don't
No you don't
So I won't say I love you if you don't"
49,49,George Ezra,Barcelona,"Barcelona,
I still long to hold her once more, oh,
My boots of leather,
From Europe
I gather you know, know

Every time you have to go
Shone my eyes and you know
I'll be lying right by your side
In Barcelona

A native man sang in a foreign tongue,
I still ache to know the song that he sung,
Barcelona

Every time you have to go
Shone my eyes and you know
I'll be lying right by your side
In Barcelona

Every time you have to go
Shone my eyes and you know
I'll be lying right by your side
In Barcelona

Barcelona
Barcelona

Every time you have to go
I shone my mind and you know
I'll be lying right by your side
In Barcelona"
50,50,Mumford & Sons,The Cave,"It's empty in the valley of your heart
The sun, it rises slowly as you walk
Away from all the fears
And all the faults you've left behind

The harvest left no food for you to eat
You cannibal, you meat-eater, you see
But I have seen the same
I know the shame in your defeat

But I will hold on hope
And I won't let you choke
On the noose around your neck
And I'll find strength in pain
And I will change my ways
I'll know my name as it's called again

Cause I have other things to fill my time
You take what is yours and I'll take mine
Now let me at the truth
Which will refresh my broken mind

So tie me to a post and block my ears
I can see widows and orphans through my tears
I know my call despite my faults
And despite my growing fears

And I will hold on hope
And I won't let you choke
On the noose around your neck
And I'll find strength in pain
And I will change my ways
I'll know my name as it's called again

So come out of your cave walking on your hands
And see the world hanging upside down
You can understand dependence
When you know the maker's land

So make your siren's call
And sing all you want
I will not hear what you have to say
Cause I need freedom now
And I need to know how
To live my life as it's meant to be

And I will hold on hope
And I won't let you choke
On the noose around your neck
And I'll find strength in pain
And I will change my ways
I'll know my name as it's called again"
51,51,A Blaze of Feather,Carousel,"Sorry is a word I fail to say
Struggle with the hurt, the weight, the pace
Trouble in the darkness shifting shade
I miss her every time I try and change

I'm waiting on you
Hoping those broken wings hold through
I can never come in the light of day
Under night memory tears me

Raising my head like a hurricane
Carousel shadows calling
Dancing

I'm waiting on you
Hoping those broken wings hold through
Still haunted by you
When the lights go
Will you pull through
(Ben Howard)
With my last breath
I comfort you

I'm waiting on you
Hoping those broken wings hold through
Still haunted by you
When the lights go
Will you pull through
I'm waiting on you
Hoping those broken wings hold through
Still haunted by you
When the lights go
Will you pull through"
56,56,Max Jury,Numb,"Honey, here I go again
Down that crooked road of sin
My momma locked me out again
And hung me high to rust under the rain

I am numb
I am numb
I am numb
I am numb
I am numb
I am numb
I am numb
I am numb

When I sing my stranger blues
I make it on the local news
Everybody likes to see you lose
And hang you high to rust under the rain

I am numb
I am numb
I am numb
I am numb

Little bluebird at my window
Sing a pretty song for me
Don't you know that you can fly, fly, fly away
Don't you know that you can leave

I am numb
I am numb
I am numb
I am numb
I am numb
I am numb
I am numb
I am numb
I am numb
I am numb
I am numb
I am numb
I am numb"
57,57,Benjamin Francis Leftwich,Tilikum,"I wonder what you're thinking
Staring through the rain
Going through our baby names
Your husband thinks you're sleeping
At a motorway hotel
He doesn't know tonight you're flying out of hell

Be my rose, growing in the cold
Be my light in the window at home
Be my sun, rising in the sky
Be my time bond lover, tonight

You're turning on your phone now
Your hands begin to shake
I'm just across the harbour bridge you say
I flew out here to tell you
I couldn't hold your pain then
Day by day I waited for your heart to melt

Be my rose, growing in the cold
Be my light in the window at home
Be my sun, rising in the sky
Be my time bond lover, tonight

Be my rose, growing in the cold
Be my light in the window at home
Be my sun, rising in the sky
Be my time bond lover, tonight"
58,58,Avec,Sailing Away,"I'm still sittin' here
With the only sound of the dawn
And I still wonder where
I'll be the day after all

And can you feel
The grass beneath your toes
It's like a story
Which began long time ago

And it's slowly getting cold
And I turn apart like you
The lights go out, the lights go on
The ways they're crossing as long as you go

I'm sailin', I'm sailin' away
I'm sailin', I'm sailin' away
The lights go out, the lights go on
The ways they're crossing as long as you go

The lights fade
Is walking next to me
My feet are stuck
In the earth underneath

And it's slowly getting cold
And I'm torn apart like you are
The lights go out, the lights go on
The ways they're crossing as long as you go

I'm sailin', I'm sailin' away
I'm sailin', I'm sailin' away
The lights go out, the lights go on
The ways they're crossing as long as you go

I'm sailin', I'm sailin' away
I'm sailin', I'm sailin' away
I'm sailin', I'm sailin' away
I'm sailin', I'm sailin' away
The lights go out, the lights go on
The ways they're crossing as long as you go
The lights go out, the lights go on
The ways they're crossing as long as you go"
60,60,James Bay,Hold Back The River,"Tried to keep you close to me,
But life got in between
Tried to square not being there
But think that I should have been

Hold back the river, let me look in your eyes
Hold back the river, so I
Can stop for a minute and see where you hide
Hold back the river, hold back

Once upon a different life
We rode our bikes into the sky
But now we call against the tide
Those distant days are flashing by

Hold back the river, let me look in your eyes
Hold back the river, so I
Can stop for a minute and be by your side
Hold back the river, hold back

Hold back the river, let me look in your eyes
Hold back the river, so I
Can stop for a minute and see where you hide
Hold back the river, hold back

Hold oho, oho, oho, oho
Oho, oho, oho, oho

Lonely water, lonely water, won't you let us wander
Let us hold each other
Lonely water, lonely water, won't you let us wander
Let us hold each other

Hold back the river, let me look in your eyes
Hold back the river, so I
Can stop for a minute and be by your side
Hold back the river, hold back

Hold back the river, let me look in your eyes
Hold back the river, so I
Can stop for a minute and be by your side
Hold back the river, hold

Lonely water, lonely water, won't you let us wander
Let us hold each other
Lonely water, lonely water, won't you let us wander
Let us hold each other"
62,62,James Vincent McMorrow,Higher Love,"Think about it, there must be higher love
Down in the heart or hidden in the stars above
Without it, life is wasted time
Look inside your heart, I'll look inside mine

Things look so bad everywhere
In this whole world, what is fair?
We walk blind and we try to see
Falling behind in what could be

Bring me a higher love
Bring me a higher love
Bring me a higher love
Where's this higher love I've been thinking of?

Worlds are turning and we're just hanging on
Facing our fear, standing out there alone
Oh, a yearning and it's real for me
There must be someone who's feeling for me

Things look so bad everywhere
In this whole world, what is fair?
We walk blind and we try to see
Falling behind in what could be

Bring me a higher love
Bring me a higher love
Bring me a higher love
Where's this higher love I've been thinking of?

I will wait for it
I'm not too late for it
Until then, I'll sing my song
To cheer the night along

I could light the night up with my soul on fire
I could make the sun shine from pure desire
Let me feel the love come over me
Let me feel how strong it can be

Bring me a higher love
Bring me a higher love, oh
Bring me a higher love
I could rise above for this higher love"
63,63,Damien Rice,Older Chests,"Older chests reveal themselves
Like a crack in a wall
Starting small, and grow in time
And we all seem to need the help
Of someone else
To mend that shelf
Too many books
Read me your favorite line

Papa went to other lands
And he found someone who understands
The ticking, and the western man's need to cry
He came back the other day
You know, some things in life may change
And some things they stay the same

Like time, there's always time
On my mind
So pass me by, I'll be fine
Just give me time

Older gents sit on the fence
With their cap in hand
Looking grand
They watch their city change
Children scream, or so it seems,
Louder than before
Out of doors, and into stores with bigger names

Mama tried to wash their faces
But these kids they lost their graces
And daddy lost at the races too many times
She broke down the other day
You know, some things in life may change
But some things they stay the same

Like time, there's always time
On my mind
So pass me by, I'll be fine
Just give me time
Time, there's always time
On my mind
Pass me by, I'll be fine
Just give me time"
67,67,Lucy Rose,Shiver,"We broke
Everything that was right
We both enjoyed a good fight

And we solved
All the holes we had to breathe
To make the other one leave

And I loved the way you looked at me
And I miss the way you made me feel
When we were alone
When we were alone

And I'll shiver like I used to
And I'll leave him just for you
And I'll shiver like I used to
Just for you

And we stole
Every moment we had to make the other one feel bad
And we hoped that we could be what we knew
We'd never turn out to be real

And I loved the way you looked at me
And I miss the way you made me feel
When we were alone
When we were alone

And I'll shiver like I used to
And I'll leave him just for you
And I'll shiver like I used to
Just for you

And if we turn back time
Could we learn to live right
And if we turn back time
Could we learn to live right
And if we turn back time
Could we learn to live right
And if we turn back time
Could we learn

And I'll shiver like I used to
And I'll leave him just for you
And I'll shiver like I used to
Just for you

Like I used to"
